key;fare_amount;pickup_datetime;Startlongitude;Startlatitude;Distance_km;passenger_count
2009-01-09 16:10:00.000000170;31,9;2009-01-09 16:10:00 UTC;-73,873027;40,773883;13,405373;3
2010-05-31 18:06:00.00000097;34,67;2010-05-31 18:06:00 UTC;-73,985427;40,758853;13,525821;1
2012-05-11 15:03:53.0000001;32,5;2012-05-11 15:03:53 UTC;-73,872862;40,774105;11,748063;2
2013-03-24 18:05:42.0000002;35,5;2013-03-24 18:05:42 UTC;-73,863891;40,770005;17,232440;1
2012-04-22 00:35:00.000000113;26,900000000000002;2012-04-22 00:35:00 UTC;-73,863072;40,768622;14,313545;6
2012-03-16 07:58:00.00000012;30,900000000000002;2012-03-16 07:58:00 UTC;-73,981942;40,763977;13,401646;5
2010-06-15 13:31:08.0000002;26,67;2010-06-15 13:31:08 UTC;-73,958063;40,760414;11,614512;1
2015-03-19 12:38:17.0000001;52,83;2015-03-19 12:38:17 UTC;-73,873054504394531;40,774085998535156;13,183534;1
2009-08-03 08:19:45.0000002;34;2009-08-03 08:19:45 UTC;-73,863506;40,769985;13,501058;1
2010-06-09 14:53:47.0000001;33,07;2010-06-09 14:53:47 UTC;-73,862764;40,769064;14,577522;2
2011-05-04 13:44:00.000000132;36,5;2011-05-04 13:44:00 UTC;-73,873068;40,774183;12,715498;5
2015-03-11 14:48:58.0000006;33,83;2015-03-11 14:48:58 UTC;-73,973304748535156;40,756385803222656;12,124266;1
2009-09-02 05:18:10.0000001;25,7;2009-09-02 05:18:10 UTC;-73,991729;40,760501;15,685120;1
2009-09-12 10:56:00.000000121;32,9;2009-09-12 10:56:00 UTC;-73,982762;40,769003;13,239966;1
2014-07-20 11:49:33.0000003;24;2014-07-20 11:49:33 UTC;-73,874483;40,774095;11,133078;1
2014-07-13 11:15:00.000000127;28;2014-07-13 11:15:00 UTC;-73,87093;40,773787;11,428550;1
2012-09-02 23:09:00.00000016;38,5;2012-09-02 23:09:00 UTC;-73,977473;40,746538;15,154401;2
2012-11-30 11:02:00.000000111;38,8;2012-11-30 11:02:00 UTC;-73,97462;40,756922;13,297185;1
2010-11-13 04:38:00.0000002;38,1;2010-11-13 04:38:00 UTC;-74,00761;40,725875;16,855227;1
2013-08-05 15:08:42.0000002;38,83;2013-08-05 15:08:42 UTC;-73,97881;40,764147;13,638817;3
2011-11-23 17:58:00.000000137;26,900000000000002;2011-11-23 17:58:00 UTC;-73,874558;40,774082;10,744445;1
2012-01-08 02:10:00.000000153;19,7;2012-01-08 02:10:00 UTC;-73,987122;40,73655;10,153382;2
2012-08-30 18:17:13.0000001;30,900000000000002;2012-08-30 18:17:13 UTC;-73,978438;40,737;13,655165;2
2014-08-21 12:40:24.0000002;38,33;2014-08-21 12:40:24 UTC;-73,977151;40,776857;13,896062;1
