key;fare_amount;pickup_datetime;Startlongitude;Startlatitude;Distance_km;passenger_count
2009-09-22 21:14:00.000000225;49,57;2009-09-22 21:14:00 UTC;-73,977023;40,7526;22,444425;2
2014-05-13 22:19:00.000000144;52,5;2014-05-13 22:19:00 UTC;-73,982265;40,762062;25,690285;1
2011-01-10 16:07:00.00000049;42,5;2011-01-10 16:07:00 UTC;-73,795677;40,807722;21,998813;2
2010-05-24 14:24:00.00000021;49,57;2010-05-24 14:24:00 UTC;-73,982483;40,75674;23,139829;1
2013-06-14 17:37:00.00000037;57,33;2013-06-14 17:37:00 UTC;-73,781127;40,645007;24,122771;1
2014-05-12 23:31:00.00000042;57,33;2014-05-12 23:31:00 UTC;-73,79025;40,643705;25,486533;1
2011-11-15 13:07:50.0000006;49,8;2011-11-15 13:07:50 UTC;-73,983851;40,761851;24,128421;3
2012-12-21 13:10:00.00000064;56,8;2012-12-21 13:10:00 UTC;-73,978817;40,761517;22,786898;1
2011-04-18 11:58:00.00000010;49,8;2011-04-18 11:58:00 UTC;-73,972822;40,793295;22,834741;2
2012-10-17 05:35:00.00000023;52;2012-10-17 05:35:00 UTC;-73,789985;40,646382;29,449194;1
2012-02-17 08:14:00.000000194;49,8;2012-02-17 08:14:00 UTC;-73,788127;40,647295;22,939322;5
2014-11-18 09:19:00.000000211;57,33;2014-11-18 09:19:00 UTC;-73,77672;40,645412;24,295510;1
2009-09-19 10:34:41.0000002;66,3;2009-09-19 10:34:41 UTC;-74,438233;40,99326;30,320944;2
2013-04-12 19:57:22.0000002;5,5;2013-04-12 19:57:22 UTC;-73,789203;40,655194;24,919871;1
2014-09-30 16:13:00.00000021;57,33;2014-09-30 16:13:00 UTC;-74,00775;40,741277;26,140224;2
2012-02-12 15:18:00.000000197;45;2012-02-12 15:18:00 UTC;-73,969852;40,750962;22,605143;1
2011-05-07 15:12:32.0000003;49,8;2011-05-07 15:12:32 UTC;-73,782235;40,644691;22,972860;2
2014-10-19 09:51:53.0000001;57,33;2014-10-19 09:51:53 UTC;-73,776721;40,645324;24,818416;2
2011-11-03 23:07:00.000000128;49,8;2011-11-03 23:07:00 UTC;-73,78555;40,64205;23,469800;1
2009-04-10 16:05:00.000000135;49,15;2009-04-10 16:05:00 UTC;-73,789652;40,643633;23,742673;1
