Type;FixedAcidity;VolatileAcidity;CitricAcid;ResidualSugar;Chlorides;FreeSulfurDioxide;TotalSulfurDioxide;Density;pH;Sulphates;Alcohol;Quality
r;7,4;0,59;0,08;4,4;0,086;6;29;0,9974;3,38;0,5;9;4
r;5,7;1,13;0,09;1,5;0,172;7;19;0,994;3,5;0,48;9,8;4
r;8,8;0,61;0,3;2,8;0,088;17;46;0,9976;3,26;0,51;9,3;4
r;4,6;0,52;0,15;2,1;0,054;8;65;0,9934;3,9;0,56;13,1;4
r;8,3;0,675;0,26;2,1;0,084;11;43;0,9976;3,31;0,53;9,2;4
r;8,3;0,625;0,2;1,5;0,08;27;119;0,9972;3,16;1,12;9,1;4
r;5;1,02;0,04;1,4;0,045;41;85;0,9938;3,75;0,48;10,5;4
r;9,2;0,52;1;3,4;0,61;32;69;0,9996;2,74;2;9,4;4
r;7,6;0,68;0,02;1,3;0,072;9;20;0,9965;3,17;1,08;9,2;4
r;7,3;0,55;0,03;1,6;0,072;17;42;0,9956;3,37;0,48;9;4
r;7,9;0,885;0,03;1,8;0,058;4;8;0,9972;3,36;0,33;9,1;4
r;6,9;1,09;0,06;2,1;0,061;12;31;0,9948;3,51;0,43;11,4;4
r;8,4;0,635;0,36;2;0,089;15;55;0,99745;3,31;0,57;10,4;4
r;7;0,975;0,04;2;0,087;12;67;0,99565;3,35;0,6;9,4;4
r;8,1;0,87;0;3,3;0,096;26;61;1,00025;3,6;0,72;9,8;4
r;12,5;0,46;0,49;4,5;0,07;26;49;0,9981;3,05;0,57;9,6;4
r;10,5;0,59;0,49;2,1;0,07;14;47;0,9991;3,3;0,56;9,6;4
r;9,9;0,5;0,24;2,3;0,103;6;14;0,9978;3,34;0,52;10;4
r;8,2;0,915;0,27;2,1;0,088;7;23;0,9962;3,26;0,47;10;4
r;10,1;0,935;0,22;3,4;0,105;11;86;1,001;3,43;0,64;11,3;4
r;8,3;0,845;0,01;2,2;0,07;5;14;0,9967;3,32;0,58;11;4
r;7,1;0,84;0,02;4,4;0,096;5;13;0,997;3,41;0,57;11;4
r;7,5;0,38;0,48;2,6;0,073;22;84;0,9972;3,32;0,7;9,6;4
r;9,1;0,765;0,04;1,6;0,078;4;14;0,998;3,29;0,54;9,7;4
r;7,5;1,115;0,1;3,1;0,086;5;12;0,9958;3,54;0,6;11,2;4
r;6,9;0,39;0,24;2,1;0,102;4;7;0,99462;3,44;0,58;11,4;4
r;7,5;0,685;0,07;2,5;0,058;5;9;0,99632;3,38;0,55;10,9;4
r;11,6;0,47;0,44;1,6;0,147;36;51;0,99836;3,38;0,86;9,9;4
r;7,3;0,35;0,24;2;0,067;28;48;0,99576;3,43;0,54;10;4
r;7,1;0,47;0;2,2;0,067;7;14;0,99517;3,4;0,58;10,9;4
