key;fare_amount;pickup_datetime;pickup_Datum;pickup_Stunde;pickup_Zeitzone;Startlongitude;Startlatitude;Distance_km;passenger_count
2015-01-11 03:15:38.0000001;58;2015-01-11 03:15:38 UTC;2015-01-11;03:15:38;UTC;-73,983000;40,738000;6,026365;1
2011-08-12 04:20:00.00000015;24,9;2011-08-12 04:20:00 UTC;2011-08-12;04:20:00;UTC;-74,006000;40,731000;9,703443;1
2011-08-31 08:21:47.0000004;12,5;2011-08-31 08:21:47 UTC;2011-08-31;08:21:47;UTC;-73,917000;40,746000;6,774571;1
2012-08-19 19:56:34.0000002;17,7;2012-08-19 19:56:34 UTC;2012-08-19;19:56:34;UTC;-73,870000;40,773000;7,513370;1
2013-09-17 04:22:00.0000006;19;2013-09-17 04:22:00 UTC;2013-09-17;04:22:00;UTC;-73,987000;40,729000;6,638495;1
2012-02-12 01:26:00.000000159;22,5;2012-02-12 01:26:00 UTC;2012-02-12;01:26:00;UTC;-73,988000;40,759000;7,755469;5
2015-05-31 07:33:18.0000002;16,5;2015-05-31 07:33:18 UTC;2015-05-31;07:33:18;UTC;-73,996000;40,755000;5,264243;3
2014-10-25 21:24:00.000000167;16;2014-10-25 21:24:00 UTC;2014-10-25;21:24:00;UTC;-74,005000;40,745000;5,170633;1
2010-05-17 07:44:00.00000096;17,3;2010-05-17 07:44:00 UTC;2010-05-17;07:44:00;UTC;-73,950000;40,785000;7,124497;1
2015-01-30 00:16:06.0000005;21,5;2015-01-30 00:16:06 UTC;2015-01-30;00:16:06;UTC;-74,001000;40,721000;5,008367;1
2011-06-12 13:33:00.000000128;15,3;2011-06-12 13:33:00 UTC;2011-06-12;13:33:00;UTC;-73,949000;40,768000;6,448086;5
2013-06-22 02:35:01.0000004;23;2013-06-22 02:35:01 UTC;2013-06-22;02:35:01;UTC;-73,997000;40,746000;6,019063;1
2013-04-12 04:39:51.0000001;11,5;2013-04-12 04:39:51 UTC;2013-04-12;04:39:51;UTC;-73,963000;40,761000;5,532340;1
2014-07-27 08:22:00.00000022;16,5;2014-07-27 08:22:00 UTC;2014-07-27;08:22:00;UTC;-73,954000;40,765000;6,330161;2
