key;fare_amount;pickup_datetime;Startlongitude;Startlatitude;Distance_km;passenger_count
2009-06-15 17:26:21.0000001;4,5;2009-06-15 17:26:21 UTC;-73,844000;40,721000;0,324682;1
2011-08-18 00:35:00.00000049;5,7;2011-08-18 00:35:00 UTC;-73,982000;40,761000;1,022250;2
2012-04-21 04:30:42.0000001;7,7;2012-04-21 04:30:42 UTC;-73,987000;40,733000;0,533364;1
2010-03-09 07:51:00.000000135;5,3;2010-03-09 07:51:00 UTC;-73,968000;40,768000;1,375181;1
2012-11-20 20:35:00.0000001;7,5;2012-11-20 20:35:00 UTC;-73,980000;40,751000;0,745291;1
2012-12-03 13:10:00.000000125;9;2012-12-03 13:10:00 UTC;-74,006000;40,726000;1,608866;1
2009-09-02 01:11:00.00000083;8,9;2009-09-02 01:11:00 UTC;-73,980000;40,733000;1,308105;2
2012-04-08 07:30:50.0000002;5,3;2012-04-08 07:30:50 UTC;-73,996000;40,737000;1,876930;1
2009-11-06 01:04:03.0000002;4,1;2009-11-06 01:04:03 UTC;-73,991000;40,744000;1,024173;2
2013-07-02 19:54:00.000000232;7;2013-07-02 19:54:00 UTC;-74,005000;40,728000;0,427100;1
2011-04-05 17:11:05.0000001;7,7;2011-04-05 17:11:05 UTC;-74,001000;40,737000;0,452103;2
2014-02-19 07:22:00.00000074;12,5;2014-02-19 07:22:00 UTC;-73,986000;40,760000;0,307733;1
2009-07-22 16:08:00.000000163;5,3;2009-07-22 16:08:00 UTC;-73,981000;40,737000;1,576770;1
2010-07-07 14:52:00.00000044;5,3;2010-07-07 14:52:00 UTC;-73,969000;40,784000;1,295002;1
2014-12-06 20:36:22.0000008;4;2014-12-06 20:36:22 UTC;-73,979000;40,751000;0,044357;1
2010-09-07 13:18:00.000000175;10,5;2010-09-07 13:18:00 UTC;-73,985000;40,747000;0,842058;1
2013-02-12 12:15:46.0000002;11,5;2013-02-12 12:15:46 UTC;-73,957000;40,779000;0,396206;1
2009-08-06 18:17:23.0000001;4,5;2009-08-06 18:17:23 UTC;-73,991000;40,770000;0,751061;1
2010-12-06 12:29:00.000000199;4,9;2010-12-06 12:29:00 UTC;-74,000000;40,747000;1,678106;1
2009-12-10 15:37:00.00000020;6,1;2009-12-10 15:37:00 UTC;-73,969000;40,756000;1,386000;1
2011-06-21 16:15:00.00000073;7,3;2011-06-21 16:15:00 UTC;-73,991000;40,754000;1,760448;3
2011-06-28 19:47:00.000000168;4,5;2011-06-28 19:47:00 UTC;-73,988000;40,760000;0,294270;3
2012-05-04 06:11:20.0000002;9,3;2012-05-04 06:11:20 UTC;-73,989000;40,690000;1,788096;1
2013-08-11 00:52:00.00000026;4,5;2013-08-11 00:52:00 UTC;-73,981000;40,737000;0,042313;2
2014-02-19 16:03:00.000000160;5,5;2014-02-19 16:03:00 UTC;-73,976000;40,752000;0,601882;1
2015-06-21 21:46:34.0000001;22,54;2015-06-21 21:46:34 UTC;-74,010000;40,717000;2,970537;1
2011-09-07 14:05:00.000000194;5,7;2011-09-07 14:05:00 UTC;-73,976000;40,744000;1,663681;2
2011-09-07 23:05:44.0000001;18,1;2011-09-07 23:05:44 UTC;-73,993000;40,740000;0,667756;1
2015-03-12 08:08:38.0000001;4,5;2015-03-12 08:08:38 UTC;-73,990000;40,756000;0,547518;1
2012-01-19 10:15:30.0000002;5,3;2012-01-19 10:15:30 UTC;-73,995000;40,754000;1,228167;1
2013-11-24 11:42:00.000000113;9;2013-11-24 11:42:00 UTC;-73,957000;40,773000;2,325667;6
